,MeOH,EtOH,Me2CO,PC,FA,DMF,DMA,NMP,MeCN,MeNO2,DMSO,TMS,HMPT
H+,10.5,11.1,-2.9,50,-,-17.7,-,-25,46.4,-,-19.4,-,-41.2
Li+,4.1,10.6,-,23.7,-9.6,-9.6,-,-35.2,30.1,50.4,-15,-,-
Na+,8,13.6,9.3,14.3,-7.9,-9.6,-12.2,-15.3,15.1,26.4,-13.4,-2.9,-
K+,9.7,16.1,3.7,4.6,-5.4,-10.2,-11,-11.4,7.8,17.7,-13.1,-4.2,-15.1
Rb+,9.6,16.1,4,-3.5,-5.4,-9.7,-8,-8.4,6.9,4.7,-10.4,-8.9,-
Cs+,8.9,15.3,3.7,-12.7,-6.2,-10.8,-10,-10.1,4.8,0.7,-12.8,-10,-
Ag+,6.5,4.9,9.4,17.8,-15.7,-20.6,-28.7,-25.7,-23.3,21,-35.6,-4.5,-44.4
Tl+,4.1,7.2,2.4,11,-,-11.5,-,-15,9.6,15.9,-21.4,-,-
(Me)4N+,5.9,11.2,3.5,-,-,-5.2,-,-3.1,2,1,-2,-,-
(Ph)4As+,-23.8,-21.2,-32,-36.1,-23.9,-38.2,-38.4,-39.3,-32.3,-,-37.4,-36.3,-39
Cl-,13.1,20.2,55.6,39.7,13.8,48.6,55.9,51,42.6,38.7,40.3,47.4,58.9
Br-,11.2,17.5,40.8,30.2,10.8,36.3,44.2,37.2,31.7,30.3,27.9,35,46.9
I-,7.3,12.4,24.7,14.8,7.4,20.7,22.4,19.9,17.7,19,10.4,21.2,30
SCN-,5.8,-,0,7.3,6.4,19,21.8,17.7,15.2,15.2,10.3,21.7,21.4
N3-,-,17,43,29,11,36,46,46,37,37,30,41,51
ClO4-,6.2,10,13.5,-7.7,-11.9,4,-3.4,-12.1,1.7,-4.7,-1.1,-0.6,-7.3
B(PH)4-,-23.8,-21.2,-32,-36.1,-23.9,-38.2,-38.4,-39.3,-32.3,-,-37.7,-36.3,-39
